"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 07, 2019","855.50","868.25","871.38","855.12","-","-1.50%"
"Jun 06, 2019","868.50","869.75","872.38","857.75","-","-0.14%"
"Jun 05, 2019","869.75","881.75","882.62","868.38","-","-1.16%"
"Jun 04, 2019","880.00","892.12","894.50","878.75","-","0.34%"
"Jun 03, 2019","877.00","876.12","886.38","873.88","-","-0.14%"
"May 31, 2019","878.25","889.00","890.62","876.62","-","-1.01%"
"May 30, 2019","887.25","871.38","889.12","863.88","-","1.98%"
"May 29, 2019","870.00","866.62","892.62","863.50","-","1.61%"
"May 28, 2019","856.25","839.25","858.12","837.62","-","3.27%"
"May 24, 2019","829.12","821.38","831.38","820.12","-","1.02%"
"May 23, 2019","820.75","828.38","832.75","817.38","-","-1.05%"
"May 22, 2019","829.50","821.25","834.88","819.50","-","1.00%"
"May 21, 2019","821.25","839.50","846.38","819.38","-","-1.20%"
"May 20, 2019","831.25","828.88","838.88","824.88","-","1.25%"
"May 17, 2019","821.00","840.38","841.88","820.75","-","-2.32%"
"May 16, 2019","840.50","835.25","844.88","834.00","-","0.63%"
"May 15, 2019","835.25","832.62","848.12","827.12","-","0.66%"
"May 14, 2019","829.75","806.88","837.88","805.88","-","3.27%"
"May 13, 2019","803.50","804.00","807.00","791.38","-","-0.60%"
"May 10, 2019","808.38","813.00","818.62","806.25","-","-0.32%"
"May 09, 2019","811.00","826.12","826.12","806.88","-","-1.73%"
"May 08, 2019","825.25","830.62","834.88","824.88","-","-0.69%"
"May 07, 2019","831.00","829.38","836.38","827.12","-","0.00%"
"May 06, 2019","831.00","827.88","833.88","817.12","-","-1.20%"
"May 03, 2019","841.12","844.25","848.12","840.75","-","-0.16%"
"May 02, 2019","842.50","852.88","853.50","842.12","-","-1.09%"
"May 01, 2019","851.75","853.62","857.62","844.38","-","-0.32%"
"Apr 30, 2019","854.50","861.38","864.62","851.38","-","-0.81%"
"Apr 29, 2019","861.50","868.25","872.88","860.62","-","0.97%"
"Apr 26, 2019","853.25","858.75","859.88","852.75","-","-0.55%"
"Apr 25, 2019","858.00","854.88","862.62","853.62","-","0.32%"
"Apr 24, 2019","855.25","862.75","865.25","854.62","-","-0.81%"
